Cron job running at  2023-07-19  07:30:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  07:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  07:50:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:10:00   [Errno 111] Connection refused
['Verkkokouppa.csv', 'Domitech.xml', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:20:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:30:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  08:50:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:10:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:20:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:30:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  09:50:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  10:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  10:10:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  10:20:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  10:30:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  10:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']


Cron job running at  2023-07-19  14:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  15:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']


Cron job running at  2023-07-19  15:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
MySQL adds files at  2023-07-19  15:43:45   Cron job running at  2023-07-19  16:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
Cron job running at  2023-07-19  16:40:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
MySQL adds files at  2023-07-19  16:43:18   Cron job running at  2023-07-19  17:00:00   ['Verkkokouppa.csv', 'Domitech.xml', 'Apollo.csv', 'Gitana.xml', 'Nzd.xml', 'Action.csv', 'Jacob.csv', 'B2B_full.xml']
